Device Name,Device Type,Energy Consumption (kWh),Date Range,Country,User Demographics: Age,User Demographics: Gender,Usage Frequency (per week/month),Device Brand,Average Duration of Use (Hours),Cost Savings (in $),Power Source,Internet Connectivity Status
Smart Speaker,Fitness Monitoring,17.50,01-03-2023,Australia,33,Woman,10 per month,SoundWave,19.00,$2.02 ,Grid,Intermittent
Smart TV,Health Monitoring,12.50,22-07-2021,USA,60,Woman,3 per week,EcoHome,19.50,$20.81 ,Battery,Disconnected
Solar Panel Monitor,Security,20.10,13-03-2023,Japan,35,Prefer not to say,3 per week,SafeGuard,1.50,$30.84 ,Grid,Disconnected
Smart Light Bulb,Security,1.30,08-11-2023,USA,28,Man,15 per month,PlugWise,22.50,$28.10 ,Solar,Offline Mode
Security Camera,Fitness Monitoring,3.10,22-05-2022,France,65,Non-binary,5 per week,RingSecure,1.70,$10.51 ,Solar,Intermittent
Smart Plug,Entertainment,12.40,19-09-2024,Brazil,57,Prefer not to say,7 per week,CoolTech,5.70,$23.50 ,Battery,Intermittent
Smart Thermostat,Climate Control,11.90,11-01-2023,South Africa,32,Prefer not to say,10 per month,RingSecure,14.20,$30.62 ,Battery,Disconnected
Smart TV,Fitness Monitoring,20.40,13-09-2024,Australia,37,Prefer not to say,7 per week,BrightLife,2.10,$5.68 ,Grid,Low Bandwidth
Video Doorbell,Fitness Monitoring,2.90,17-04-2024,Germany,40,Prefer not to say,10 per month,SafeGuard,22.10,$19.03 ,Solar,Offline Mode
Smart Refrigerator,Climate Control,11.60,22-02-2022,Japan,38,Non-binary,15 per month,SafeGuard,9.90,$44.38 ,Grid,Connected
Smart TV,Energy-saving,4.30,28-02-2022,India,29,Man,3 per week,ViewMax,23.60,$12.07 ,Solar,Low Bandwidth
Home Assistant Hub,Water Conservation,15.10,22-01-2023,USA,46,Prefer not to say,10 per month,BrightLife,18.20,$27.10 ,Solar,Low Bandwidth
Smart Plug,Health Monitoring,7.90,05-05-2022,USA,46,Man,5 per week,SmartLiving,5.50,$19.46 ,Battery,Connected
Smart Light Bulb,Climate Control,15.70,26-05-2020,South Africa,33,Man,15 per month,SunTrack,11.50,$12.18 ,Solar,Disconnected
Home Assistant Hub,Smart Appliances,5.00,03-04-2023,India,30,Woman,3 per week,SoundWave,21.50,$17.05 ,Battery,Low Bandwidth
Solar Panel Monitor,Health Monitoring,21.10,03-02-2024,Germany,55,Prefer not to say,3 per week,CoolTech,13.00,$21.49 ,Grid,Disconnected
Smart Plug,Entertainment,7.50,26-05-2022,France,24,Non-binary,15 per month,ViewMax,7.90,$48.73 ,Grid,Low Bandwidth
Smart Thermostat,Entertainment,23.80,29-03-2024,Germany,20,Prefer not to say,3 per week,PlugWise,4.40,$17.02 ,Battery,Disconnected
Security Camera,Water Conservation,4.00,28-06-2023,Brazil,24,Prefer not to say,5 per week,SoundWave,8.50,$16.59 ,Battery,Disconnected
Video Doorbell,Energy-saving,6.80,17-11-2023,South Africa,36,Woman,10 per month,SafeGuard,11.00,$24.81 ,Grid,Intermittent
Smart Thermostat,Energy-saving,20.70,20-02-2023,India,21,Prefer not to say,7 per week,SoundWave,18.80,$37.76 ,Grid,Connected
Home Assistant Hub,Entertainment,10.10,12-03-2024,South Africa,33,Woman,3 per week,PlugWise,10.10,$7.62 ,Battery,Disconnected
Solar Panel Monitor,Smart Appliances,5.40,03-02-2022,France,31,Woman,5 per week,RingSecure,4.50,$40.25 ,Solar,Disconnected
Security Camera,Climate Control,8.80,30-01-2022,USA,36,Man,10 per month,SunTrack,11.80,$28.13 ,Grid,Offline Mode
Video Doorbell,Climate Control,16.90,27-11-2022,Mexico,31,Prefer not to say,3 per week,EcoHome,21.60,$16.06 ,Grid,Connected
Smart TV,Water Conservation,10.10,17-12-2021,India,60,Woman,5 per week,SmartLiving,14.70,$20.90 ,Grid,Low Bandwidth
Smart Light Bulb,Climate Control,19.50,10-11-2024,Brazil,55,Man,3 per week,ViewMax,8.10,$12.96 ,Battery,Connected
Smart TV,Energy-saving,8.30,14-04-2023,Canada,54,Non-binary,5 per week,BrightLife,1.60,$36.97 ,Battery,Disconnected
Smart TV,Fitness Monitoring,23.60,26-02-2024,India,27,Woman,7 per week,ViewMax,7.90,$42.64 ,Solar,Disconnected
Smart TV,Water Conservation,9.90,14-07-2024,France,44,Non-binary,7 per week,SunTrack,14.20,$23.42 ,Solar,Intermittent
Home Assistant Hub,Climate Control,21.90,12-04-2020,Mexico,52,Man,7 per week,SunTrack,10.50,$34.27 ,Solar,Offline Mode
Solar Panel Monitor,Security,16.50,07-01-2021,Canada,54,Prefer not to say,15 per month,EcoHome,2.60,$4.97 ,Solar,Connected
Solar Panel Monitor,Climate Control,20.10,13-12-2021,Japan,30,Man,7 per week,EcoHome,10.30,$4.44 ,Battery,Disconnected
Video Doorbell,Security,19.40,24-11-2021,Mexico,45,Woman,3 per week,SafeGuard,14.20,$41.10 ,Battery,Low Bandwidth
Smart Speaker,Water Conservation,1.60,24-11-2022,Canada,18,Non-binary,3 per week,SmartLiving,18.30,$35.98 ,Solar,Low Bandwidth
Smart Refrigerator,Energy-saving,14.50,29-06-2020,Brazil,30,Man,5 per week,ViewMax,12.20,$14.26 ,Grid,Intermittent
Smart Refrigerator,Water Conservation,13.00,19-07-2022,France,27,Man,15 per month,CoolTech,5.50,$43.39 ,Solar,Connected
Security Camera,Entertainment,5.40,13-11-2021,USA,33,Woman,5 per week,CoolTech,18.50,$13.04 ,Grid,Disconnected
Smart Light Bulb,Water Conservation,4.40,25-01-2021,Mexico,55,Non-binary,3 per week,SunTrack,14.10,$2.38 ,Grid,Disconnected
Smart TV,Energy-saving,18.20,23-01-2021,Japan,24,Non-binary,10 per month,SafeGuard,1.60,$29.11 ,Grid,Disconnected
Smart TV,Security,6.10,09-12-2021,South Africa,65,Man,10 per month,ViewMax,12.30,$25.50 ,Battery,Intermittent
Security Camera,Water Conservation,16.90,04-06-2024,South Africa,25,Man,15 per month,SunTrack,13.30,$17.77 ,Grid,Connected
Smart TV,Health Monitoring,18.70,31-08-2022,Canada,40,Non-binary,3 per week,SunTrack,15.20,$21.03 ,Grid,Intermittent
Smart TV,Energy-saving,6.20,22-02-2023,France,19,Woman,7 per week,EcoHome,16.40,$34.90 ,Grid,Intermittent
Smart Light Bulb,Entertainment,24.00,26-02-2023,South Africa,61,Woman,5 per week,EcoHome,17.90,$13.45 ,Battery,Disconnected
Video Doorbell,Entertainment,8.20,25-10-2023,Japan,33,Man,7 per week,CoolTech,1.90,$24.74 ,Battery,Disconnected
Security Camera,Climate Control,12.60,05-05-2021,USA,59,Man,7 per week,RingSecure,4.00,$35.47 ,Battery,Connected
Smart TV,Health Monitoring,23.60,02-04-2022,Brazil,32,Woman,5 per week,SafeGuard,21.20,$42.75 ,Solar,Intermittent
Smart Plug,Fitness Monitoring,10.10,27-07-2021,Canada,46,Man,15 per month,CoolTech,11.30,$14.81 ,Solar,Connected
Smart Speaker,Fitness Monitoring,21.90,03-12-2022,Germany,29,Non-binary,7 per week,EcoHome,5.80,$14.25 ,Battery,Disconnected
Smart Light Bulb,Entertainment,21.90,26-05-2023,Brazil,39,Woman,3 per week,BrightLife,11.20,$32.39 ,Solar,Intermittent
Home Assistant Hub,Energy-saving,14.90,30-11-2022,Canada,48,Woman,7 per week,SafeGuard,14.30,$19.61 ,Grid,Disconnected
Smart Speaker,Energy-saving,13.00,05-07-2020,Canada,49,Prefer not to say,15 per month,RingSecure,21.20,$9.87 ,Battery,Disconnected
Home Assistant Hub,Entertainment,23.30,25-12-2024,Brazil,56,Non-binary,3 per week,SafeGuard,12.90,$47.01 ,Solar,Connected
Smart Speaker,Energy-saving,16.20,07-01-2024,Germany,60,Man,3 per week,RingSecure,6.10,$37.50 ,Grid,Intermittent
Smart Refrigerator,Smart Appliances,23.00,18-12-2022,Australia,24,Man,10 per month,PlugWise,2.80,$36.52 ,Battery,Disconnected
Security Camera,Water Conservation,17.60,22-10-2020,Germany,56,Woman,15 per month,CoolTech,16.70,$42.32 ,Solar,Intermittent
Video Doorbell,Fitness Monitoring,24.20,02-09-2021,Japan,30,Non-binary,3 per week,PlugWise,4.80,$47.83 ,Grid,Offline Mode
Smart Thermostat,Health Monitoring,17.40,01-10-2023,Australia,54,Non-binary,15 per month,SunTrack,14.30,$18.52 ,Grid,Low Bandwidth
Smart Thermostat,Smart Appliances,11.30,06-05-2022,USA,50,Prefer not to say,3 per week,RingSecure,23.30,$10.45 ,Battery,Connected
Smart Speaker,Smart Appliances,9.10,31-08-2022,Mexico,46,Non-binary,10 per month,RingSecure,11.60,$45.66 ,Grid,Disconnected
Smart Thermostat,Entertainment,14.30,19-12-2020,Brazil,57,Prefer not to say,10 per month,BrightLife,1.60,$27.77 ,Grid,Offline Mode
Smart Speaker,Fitness Monitoring,7.00,11-11-2020,Brazil,47,Woman,5 per week,PlugWise,3.90,$40.28 ,Grid,Intermittent
Smart Thermostat,Climate Control,25.00,30-11-2021,India,39,Woman,7 per week,SafeGuard,1.00,$10.71 ,Grid,Offline Mode
Smart Thermostat,Energy-saving,16.40,29-05-2024,France,63,Man,5 per week,SafeGuard,21.90,$8.74 ,Battery,Intermittent
Security Camera,Energy-saving,24.90,18-01-2022,Brazil,62,Prefer not to say,15 per month,ViewMax,8.00,$4.74 ,Solar,Disconnected
Smart Light Bulb,Climate Control,19.30,29-04-2023,Australia,55,Man,3 per week,CoolTech,17.50,$37.70 ,Battery,Offline Mode
Home Assistant Hub,Water Conservation,3.30,11-10-2022,France,57,Non-binary,5 per week,SoundWave,23.70,$24.76 ,Battery,Offline Mode
Home Assistant Hub,Fitness Monitoring,4.60,26-05-2023,Canada,22,Woman,3 per week,EcoHome,6.80,$40.51 ,Battery,Offline Mode
Smart Light Bulb,Energy-saving,15.50,19-08-2020,Germany,21,Non-binary,10 per month,RingSecure,2.30,$20.24 ,Solar,Connected
Smart Speaker,Entertainment,5.00,06-05-2023,Japan,42,Woman,5 per week,SafeGuard,21.70,$20.47 ,Grid,Connected
Smart Light Bulb,Entertainment,12.80,17-09-2024,Japan,18,Man,5 per week,ViewMax,4.10,$18.76 ,Grid,Low Bandwidth
Smart Speaker,Smart Appliances,17.40,20-06-2024,Japan,46,Prefer not to say,10 per month,PlugWise,13.50,$22.21 ,Battery,Disconnected
Smart Light Bulb,Energy-saving,15.20,05-07-2022,India,26,Non-binary,10 per month,PlugWise,17.50,$14.50 ,Solar,Disconnected
Smart Refrigerator,Water Conservation,3.50,28-06-2021,USA,22,Prefer not to say,3 per week,RingSecure,2.00,$48.18 ,Battery,Offline Mode
Smart Refrigerator,Fitness Monitoring,4.40,25-08-2023,Japan,47,Prefer not to say,7 per week,EcoHome,13.90,$6.16 ,Solar,Offline Mode
Home Assistant Hub,Energy-saving,23.10,19-02-2023,USA,37,Man,3 per week,SmartLiving,14.40,$49.49 ,Grid,Intermittent
Smart Refrigerator,Health Monitoring,6.00,14-10-2021,Japan,19,Prefer not to say,10 per month,BrightLife,3.30,$15.41 ,Solar,Connected
Smart Light Bulb,Smart Appliances,1.30,24-09-2022,South Africa,50,Non-binary,15 per month,PlugWise,10.40,$6.88 ,Battery,Low Bandwidth
Smart Speaker,Health Monitoring,11.20,26-01-2022,Brazil,40,Prefer not to say,3 per week,PlugWise,15.60,$37.89 ,Grid,Connected
Security Camera,Climate Control,23.20,11-12-2021,Brazil,34,Non-binary,5 per week,CoolTech,11.40,$36.74 ,Grid,Connected
Home Assistant Hub,Fitness Monitoring,9.30,14-03-2024,Brazil,37,Man,5 per week,SmartLiving,9.10,$37.95 ,Battery,Intermittent
Smart TV,Energy-saving,15.90,01-10-2023,Mexico,54,Non-binary,10 per month,ViewMax,11.80,$9.79 ,Battery,Offline Mode
Video Doorbell,Climate Control,4.30,21-03-2023,Japan,39,Man,7 per week,EcoHome,19.00,$49.73 ,Solar,Offline Mode
Smart Light Bulb,Health Monitoring,20.60,15-10-2023,France,46,Woman,15 per month,SoundWave,7.30,$23.49 ,Grid,Intermittent
Home Assistant Hub,Health Monitoring,8.00,02-09-2021,USA,22,Non-binary,7 per week,SunTrack,19.20,$36.29 ,Grid,Connected
Video Doorbell,Energy-saving,7.10,08-10-2024,Germany,52,Prefer not to say,10 per month,RingSecure,17.60,$37.70 ,Solar,Intermittent
Smart Thermostat,Energy-saving,2.70,05-03-2020,USA,65,Prefer not to say,10 per month,PlugWise,3.50,$30.12 ,Battery,Low Bandwidth
Smart Speaker,Security,1.30,31-08-2024,Germany,18,Non-binary,7 per week,EcoHome,9.90,$31.76 ,Solar,Low Bandwidth
Smart TV,Energy-saving,16.50,13-06-2022,Canada,37,Woman,3 per week,SoundWave,1.80,$10.97 ,Grid,Intermittent
Smart Light Bulb,Energy-saving,8.50,22-10-2020,France,40,Woman,5 per week,SoundWave,1.30,$11.74 ,Grid,Offline Mode
Smart Light Bulb,Entertainment,2.50,11-10-2023,Japan,27,Prefer not to say,3 per week,PlugWise,11.00,$32.24 ,Grid,Intermittent
Smart Light Bulb,Smart Appliances,23.60,19-07-2024,India,64,Woman,10 per month,RingSecure,1.40,$11.66 ,Grid,Disconnected
Solar Panel Monitor,Smart Appliances,21.60,09-04-2022,USA,47,Non-binary,7 per week,SmartLiving,13.80,$11.39 ,Solar,Disconnected
Solar Panel Monitor,Security,21.30,27-06-2021,USA,24,Non-binary,15 per month,EcoHome,19.70,$30.63 ,Grid,Intermittent
Home Assistant Hub,Health Monitoring,18.60,24-06-2024,Brazil,29,Non-binary,7 per week,SoundWave,18.50,$6.40 ,Solar,Intermittent
Smart TV,Fitness Monitoring,5.30,09-01-2024,Canada,30,Non-binary,15 per month,RingSecure,22.00,$28.48 ,Grid,Offline Mode
Smart Speaker,Climate Control,9.50,29-09-2020,Japan,42,Prefer not to say,10 per month,BrightLife,19.00,$34.30 ,Battery,Intermittent
Smart Speaker,Entertainment,1.60,17-01-2023,South Africa,65,Woman,5 per week,CoolTech,16.90,$43.02 ,Solar,Connected
Smart Light Bulb,Security,12.50,13-04-2020,India,50,Woman,10 per month,PlugWise,8.10,$12.54 ,Grid,Connected
Smart Light Bulb,Fitness Monitoring,18.40,03-10-2023,South Africa,41,Non-binary,3 per week,PlugWise,17.50,$32.55 ,Solar,Disconnected
Smart Plug,Security,12.70,15-10-2021,Australia,41,Prefer not to say,3 per week,SafeGuard,12.50,$35.78 ,Solar,Low Bandwidth
Video Doorbell,Climate Control,4.00,02-07-2020,Canada,45,Prefer not to say,15 per month,ViewMax,15.60,$9.77 ,Grid,Intermittent
Video Doorbell,Water Conservation,5.90,12-12-2022,Japan,37,Man,10 per month,RingSecure,2.40,$44.88 ,Battery,Connected
Video Doorbell,Health Monitoring,0.50,28-02-2022,Germany,23,Prefer not to say,7 per week,SoundWave,4.70,$10.42 ,Battery,Intermittent
Smart Speaker,Health Monitoring,7.60,05-10-2022,Germany,42,Man,3 per week,SafeGuard,13.20,$9.30 ,Battery,Connected
Video Doorbell,Fitness Monitoring,5.30,20-05-2021,Mexico,56,Man,3 per week,EcoHome,6.80,$20.16 ,Solar,Disconnected
Smart Light Bulb,Water Conservation,18.60,20-06-2021,Mexico,41,Prefer not to say,10 per month,SmartLiving,15.30,$4.55 ,Solar,Disconnected
Smart Speaker,Entertainment,15.90,07-09-2023,Mexico,56,Woman,15 per month,RingSecure,14.90,$31.77 ,Grid,Connected
Security Camera,Health Monitoring,23.60,11-04-2022,India,38,Man,5 per week,CoolTech,3.80,$36.99 ,Battery,Intermittent
Smart Thermostat,Fitness Monitoring,10.70,20-09-2024,USA,28,Non-binary,7 per week,BrightLife,5.80,$6.80 ,Grid,Low Bandwidth
Video Doorbell,Climate Control,24.10,29-05-2024,Mexico,29,Non-binary,5 per week,CoolTech,12.60,$3.35 ,Solar,Offline Mode
Smart Light Bulb,Water Conservation,7.90,23-10-2020,Canada,59,Man,5 per week,ViewMax,9.50,$13.08 ,Solar,Offline Mode
Smart Refrigerator,Climate Control,13.60,29-08-2021,Canada,65,Woman,10 per month,SoundWave,2.20,$24.48 ,Solar,Intermittent
Home Assistant Hub,Entertainment,17.00,26-09-2022,Canada,23,Man,5 per week,ViewMax,6.80,$48.39 ,Solar,Disconnected
Home Assistant Hub,Smart Appliances,23.40,11-10-2022,Mexico,20,Non-binary,15 per month,SoundWave,20.70,$46.36 ,Solar,Intermittent
Smart Light Bulb,Energy-saving,4.40,22-08-2021,India,33,Man,15 per month,CoolTech,4.60,$24.36 ,Solar,Offline Mode
Security Camera,Energy-saving,4.60,15-11-2020,Brazil,45,Woman,3 per week,RingSecure,9.10,$42.31 ,Grid,Intermittent
Smart Plug,Climate Control,20.30,28-04-2023,Australia,54,Prefer not to say,7 per week,BrightLife,8.00,$48.07 ,Battery,Low Bandwidth
Smart Speaker,Health Monitoring,4.30,25-05-2023,Canada,46,Man,3 per week,SunTrack,6.90,$8.52 ,Battery,Disconnected
Smart Light Bulb,Energy-saving,1.10,12-07-2022,India,25,Man,10 per month,PlugWise,15.30,$38.38 ,Battery,Low Bandwidth
Smart Light Bulb,Fitness Monitoring,14.10,25-09-2021,India,18,Man,7 per week,PlugWise,20.30,$44.45 ,Battery,Disconnected
Smart Plug,Water Conservation,11.70,23-07-2024,South Africa,62,Prefer not to say,15 per month,RingSecure,19.40,$20.02 ,Solar,Disconnected
Video Doorbell,Fitness Monitoring,24.40,27-07-2023,Australia,62,Prefer not to say,15 per month,PlugWise,17.90,$38.31 ,Solar,Offline Mode
Smart Thermostat,Smart Appliances,16.40,26-12-2021,Australia,38,Non-binary,15 per month,ViewMax,23.20,$8.43 ,Battery,Connected
Solar Panel Monitor,Climate Control,5.90,22-01-2021,France,35,Man,5 per week,SmartLiving,11.10,$42.89 ,Grid,Intermittent
Smart Speaker,Water Conservation,1.70,11-06-2022,Germany,63,Woman,10 per month,PlugWise,12.10,$34.53 ,Grid,Intermittent
Smart Thermostat,Fitness Monitoring,21.30,05-06-2024,Mexico,22,Non-binary,15 per month,SmartLiving,1.60,$27.28 ,Solar,Offline Mode
Video Doorbell,Health Monitoring,4.00,11-07-2022,Mexico,51,Man,15 per month,SafeGuard,14.60,$21.79 ,Grid,Offline Mode
Home Assistant Hub,Water Conservation,9.30,25-02-2020,Japan,54,Man,7 per week,EcoHome,22.80,$46.29 ,Grid,Intermittent
Solar Panel Monitor,Smart Appliances,4.50,19-04-2023,South Africa,61,Prefer not to say,15 per month,RingSecure,11.20,$9.90 ,Solar,Intermittent
Security Camera,Climate Control,10.00,03-09-2022,USA,28,Woman,5 per week,SunTrack,15.90,$37.05 ,Battery,Disconnected
Security Camera,Health Monitoring,13.60,14-10-2020,France,28,Non-binary,10 per month,CoolTech,5.60,$15.40 ,Solar,Connected
Home Assistant Hub,Smart Appliances,6.40,07-10-2024,Brazil,56,Man,3 per week,SafeGuard,5.10,$33.61 ,Battery,Disconnected
Smart Plug,Energy-saving,1.20,14-03-2021,Germany,38,Man,5 per week,SunTrack,3.60,$15.96 ,Grid,Offline Mode
Home Assistant Hub,Security,19.90,17-03-2021,South Africa,53,Man,7 per week,EcoHome,18.00,$32.51 ,Solar,Low Bandwidth
Smart Refrigerator,Health Monitoring,18.20,30-08-2024,USA,19,Man,10 per month,RingSecure,17.00,$7.69 ,Battery,Disconnected
Smart Speaker,Security,17.30,07-03-2021,India,26,Man,10 per month,EcoHome,8.50,$14.95 ,Grid,Low Bandwidth
Video Doorbell,Security,2.90,17-10-2023,USA,44,Man,5 per week,PlugWise,2.30,$5.61 ,Solar,Intermittent
Smart Refrigerator,Energy-saving,20.50,08-08-2022,France,35,Man,7 per week,SafeGuard,8.70,$39.74 ,Grid,Low Bandwidth
Smart Speaker,Climate Control,5.30,20-09-2023,Australia,36,Man,5 per week,SafeGuard,4.00,$13.02 ,Battery,Disconnected
Smart Thermostat,Security,15.00,29-04-2023,Mexico,47,Prefer not to say,10 per month,EcoHome,18.00,$42.51 ,Battery,Intermittent
Home Assistant Hub,Health Monitoring,3.50,04-08-2022,Brazil,39,Woman,15 per month,ViewMax,19.60,$14.97 ,Grid,Offline Mode
Solar Panel Monitor,Security,22.60,10-09-2021,France,57,Man,15 per month,PlugWise,8.70,$5.84 ,Battery,Disconnected
Smart TV,Health Monitoring,9.20,07-01-2022,Brazil,59,Prefer not to say,5 per week,SunTrack,19.30,$19.72 ,Grid,Offline Mode
Smart Light Bulb,Energy-saving,21.20,05-02-2020,India,62,Prefer not to say,3 per week,CoolTech,14.60,$42.61 ,Battery,Disconnected
Home Assistant Hub,Energy-saving,6.80,18-03-2023,USA,33,Woman,3 per week,SafeGuard,5.80,$25.41 ,Grid,Disconnected
Video Doorbell,Water Conservation,10.20,25-06-2021,USA,30,Man,10 per month,SafeGuard,7.00,$12.35 ,Battery,Connected
Smart Refrigerator,Entertainment,2.90,06-04-2021,Japan,29,Man,10 per month,SafeGuard,4.60,$40.59 ,Battery,Intermittent
Home Assistant Hub,Health Monitoring,23.50,05-05-2020,Canada,51,Woman,10 per month,SunTrack,12.70,$46.13 ,Grid,Intermittent
Solar Panel Monitor,Fitness Monitoring,7.60,30-11-2022,Mexico,65,Non-binary,10 per month,SoundWave,1.60,$16.99 ,Battery,Connected
Smart Thermostat,Entertainment,24.90,18-10-2023,South Africa,42,Prefer not to say,10 per month,EcoHome,15.90,$30.77 ,Grid,Disconnected
Smart Plug,Water Conservation,20.00,20-09-2021,Australia,49,Prefer not to say,5 per week,SoundWave,18.30,$42.44 ,Grid,Offline Mode
Solar Panel Monitor,Water Conservation,21.20,27-11-2021,USA,46,Man,15 per month,PlugWise,7.90,$42.02 ,Battery,Low Bandwidth
Smart Speaker,Smart Appliances,6.50,25-10-2021,Brazil,54,Woman,15 per month,SunTrack,7.50,$22.83 ,Battery,Disconnected
Smart Light Bulb,Energy-saving,20.20,04-03-2023,India,64,Man,7 per week,SmartLiving,18.40,$22.04 ,Grid,Disconnected
Smart Plug,Smart Appliances,20.00,07-04-2023,Canada,39,Non-binary,5 per week,SoundWave,17.20,$33.87 ,Grid,Offline Mode
Home Assistant Hub,Security,10.70,06-09-2022,Australia,22,Man,5 per week,PlugWise,14.20,$36.31 ,Battery,Connected
Smart Refrigerator,Smart Appliances,24.70,18-07-2024,South Africa,26,Woman,15 per month,SmartLiving,10.40,$44.15 ,Solar,Low Bandwidth
Smart Speaker,Health Monitoring,10.60,10-12-2024,India,59,Woman,7 per week,BrightLife,22.60,$24.72 ,Grid,Connected
Smart Light Bulb,Climate Control,21.40,26-11-2020,Australia,29,Non-binary,15 per month,SafeGuard,5.00,$4.16 ,Solar,Connected
Smart Refrigerator,Fitness Monitoring,20.80,14-06-2023,Germany,22,Prefer not to say,15 per month,ViewMax,7.50,$40.18 ,Battery,Intermittent
Video Doorbell,Smart Appliances,19.50,11-12-2020,Germany,28,Prefer not to say,3 per week,ViewMax,19.70,$24.80 ,Battery,Intermittent
Video Doorbell,Smart Appliances,2.50,16-08-2021,France,27,Prefer not to say,15 per month,SafeGuard,11.10,$16.85 ,Battery,Offline Mode
Security Camera,Health Monitoring,20.20,22-12-2022,Brazil,57,Man,3 per week,CoolTech,4.20,$28.45 ,Battery,Low Bandwidth
Smart TV,Security,2.80,19-01-2022,South Africa,47,Woman,5 per week,SunTrack,2.70,$44.24 ,Grid,Low Bandwidth
Solar Panel Monitor,Climate Control,3.70,12-08-2021,South Africa,56,Prefer not to say,5 per week,BrightLife,19.40,$24.82 ,Grid,Connected
Smart TV,Fitness Monitoring,18.20,25-10-2024,Canada,36,Woman,5 per week,SunTrack,4.00,$8.82 ,Grid,Low Bandwidth
Smart Speaker,Entertainment,3.50,30-07-2020,Germany,47,Non-binary,3 per week,BrightLife,11.20,$48.26 ,Grid,Offline Mode
Security Camera,Water Conservation,6.00,03-04-2021,USA,43,Prefer not to say,5 per week,EcoHome,0.90,$49.03 ,Grid,Low Bandwidth
Smart Refrigerator,Security,22.40,14-12-2024,Germany,37,Non-binary,10 per month,SoundWave,6.50,$19.10 ,Solar,Intermittent
Video Doorbell,Water Conservation,11.60,03-11-2023,Australia,41,Woman,5 per week,PlugWise,6.50,$30.44 ,Grid,Low Bandwidth
Smart TV,Entertainment,22.90,15-10-2021,Australia,23,Man,7 per week,ViewMax,3.20,$13.77 ,Battery,Connected
Smart Refrigerator,Water Conservation,23.90,07-05-2024,Germany,23,Non-binary,3 per week,SunTrack,9.70,$11.11 ,Solar,Low Bandwidth
Home Assistant Hub,Health Monitoring,7.70,03-03-2020,South Africa,40,Non-binary,7 per week,BrightLife,13.90,$37.24 ,Solar,Offline Mode
Home Assistant Hub,Fitness Monitoring,23.00,06-10-2022,Australia,19,Woman,3 per week,ViewMax,10.50,$16.87 ,Solar,Disconnected
Home Assistant Hub,Security,13.40,18-03-2020,South Africa,22,Non-binary,3 per week,SunTrack,4.90,$36.80 ,Battery,Disconnected
Smart Refrigerator,Fitness Monitoring,5.80,08-10-2021,France,40,Prefer not to say,15 per month,PlugWise,0.60,$34.28 ,Solar,Low Bandwidth
Video Doorbell,Fitness Monitoring,24.30,25-04-2023,Canada,22,Non-binary,15 per month,SoundWave,21.30,$34.55 ,Battery,Intermittent
Solar Panel Monitor,Fitness Monitoring,2.90,04-10-2023,USA,38,Non-binary,3 per week,RingSecure,10.60,$23.13 ,Battery,Connected
Smart Plug,Fitness Monitoring,4.40,15-05-2022,France,37,Woman,7 per week,BrightLife,1.90,$15.62 ,Solar,Disconnected
Smart Plug,Security,8.30,16-11-2022,Mexico,53,Man,5 per week,RingSecure,6.30,$46.27 ,Battery,Connected
Solar Panel Monitor,Water Conservation,8.90,11-08-2023,Japan,27,Man,3 per week,SafeGuard,21.50,$43.39 ,Battery,Connected
Smart TV,Security,13.20,17-03-2021,Germany,52,Man,3 per week,SunTrack,9.50,$36.89 ,Solar,Disconnected
Smart Light Bulb,Water Conservation,10.30,16-05-2021,Japan,61,Prefer not to say,10 per month,RingSecure,11.70,$35.18 ,Grid,Low Bandwidth
Solar Panel Monitor,Climate Control,11.10,14-01-2022,South Africa,21,Non-binary,10 per month,RingSecure,8.60,$29.21 ,Grid,Intermittent
Home Assistant Hub,Security,15.30,17-07-2022,Brazil,48,Woman,5 per week,ViewMax,10.00,$37.99 ,Grid,Offline Mode
Smart Light Bulb,Water Conservation,14.50,09-05-2020,Brazil,33,Prefer not to say,10 per month,PlugWise,7.80,$13.86 ,Grid,Connected
Home Assistant Hub,Security,3.60,31-10-2024,Germany,40,Prefer not to say,10 per month,ViewMax,22.20,$17.11 ,Battery,Low Bandwidth
Smart Thermostat,Entertainment,16.20,25-11-2024,Japan,32,Man,7 per week,SoundWave,17.50,$21.16 ,Battery,Disconnected
Smart Thermostat,Energy-saving,9.60,10-05-2021,France,52,Non-binary,15 per month,EcoHome,18.60,$9.65 ,Battery,Offline Mode
Smart Light Bulb,Climate Control,6.10,12-11-2023,Australia,29,Man,10 per month,CoolTech,19.30,$42.27 ,Solar,Offline Mode
Smart Refrigerator,Climate Control,3.50,06-04-2023,USA,22,Man,7 per week,CoolTech,23.30,$5.15 ,Solar,Offline Mode
Smart Refrigerator,Water Conservation,21.80,31-10-2023,France,63,Non-binary,15 per month,BrightLife,14.80,$29.72 ,Solar,Connected
Video Doorbell,Climate Control,11.00,12-10-2020,France,46,Man,15 per month,SafeGuard,3.60,$15.12 ,Solar,Offline Mode
Smart Plug,Smart Appliances,4.20,02-04-2023,India,55,Non-binary,15 per month,SmartLiving,15.00,$5.43 ,Grid,Intermittent
Video Doorbell,Energy-saving,18.30,14-02-2020,France,37,Woman,5 per week,PlugWise,10.70,$42.38 ,Battery,Intermittent
Smart Refrigerator,Entertainment,14.50,17-12-2021,Australia,40,Prefer not to say,15 per month,SoundWave,13.70,$33.13 ,Solar,Intermittent
